clust,clust_RCSI,clust_RCSI_predict_ipc
31443270,1.5263158,3.0885668
31540419,3,3.0885668
31545384,3.4000001,3.0885668
31555614,4.125,3.0885668
10103414,3.3125,3.0885668
10203744,2.8636363,3.0885668
10204322,2.5882354,3.0885668
10204586,.78947371,3.0885668
10220103,3.1818182,3.0885668
10301663,3.5882354,3.0885668
10308636,3.5,3.0885668
10404186,3.3529413,3.0885668
10502268,2,3.0885668
10502593,4.4666667,3.0885668
10505136,2.4375,3.0885668
10505508,2.4736843,3.0885668
10733640,.095238097,3.0885668
20106042,2.2608695,3.0885668
20110620,3.3,3.0885668
20111718,7,3.0885668
20303065,1.7826087,3.0885668
20404575,4.5714288,3.0885668
20601626,2.72,3.0885668
20602363,2.6111112,3.0885668
20603533,3.1500001,3.0885668
20604638,5.1999998,3.0885668
20605302,5.3157897,3.0885668
20610050,7.1500001,3.0885668
20610249,6.6666665,3.0885668
20613324,6,3.0885668
20614477,2.7391305,3.0885668
20704738,3.2592592,3.0885668
20801046,4.352941,3.0885668
20906605,4.7222223,3.0885668
21066096,.75,3.0885668
21066339,2.8,3.0885668
30101545,4.3000002,3.0885668
30102028,2.6842105,3.0885668
30102540,4.6999998,3.0885668
30206341,6.8571429,3.0885668
30206572,1.2857143,3.0885668
30302601,4.4761906,3.0885668
30305082,2.3529413,3.0885668
30305580,3.0454545,3.0885668
30501383,2.8571429,3.0885668
30620196,1.9375,3.0885668
30705391,3.5,3.0885668
30706619,4.0526314,3.0885668
30801672,6.1875,3.0885668
30901054,10.55,3.0885668
30901475,8.043478,3.0885668
31004312,7.1052632,3.0885668
31006556,4.5238094,3.0885668
31201104,3,3.0885668
31201516,7.818182,3.0885668
31435120,3.2777777,3.0885668
31439102,4,3.0885668
31532674,1.9130435,3.0885668
31533095,5.3333335,3.0885668
31536751,1.1578947,3.0885668
31546760,5.1428571,3.0885668
31550254,3.4761906,3.0885668
10101562,5.3636365,3.0885668
10104150,5.8421054,3.0885668
10201688,2.3043478,3.0885668
10302010,6.125,3.0885668
10307413,7.4736843,3.0885668
10401522,4.2105265,3.0885668
10405213,2.1363637,3.0885668
10507175,4.6999998,3.0885668
10507344,.71428573,3.0885668
10734370,1.8333334,3.0885668
10734762,4.5999999,3.0885668
10741504,3.3571429,3.0885668
10744649,2.4705882,3.0885668
20112661,5.9473686,3.0885668
20205207,4.3157897,3.0885668
20402198,2.5999999,3.0885668
20405366,.8888889,3.0885668
20507089,5.8421054,3.0885668
20507459,.64999998,3.0885668
20702471,4.7647057,3.0885668
20705372,3.4375,3.0885668
20802019,7.9545455,3.0885668
20806131,3.2222223,3.0885668
20903583,2.3913043,3.0885668
20908119,5.5882354,3.0885668
