clust_logFCS,clust_logFCS_predict_ipc
4.2349601,3.8455029
4.0369554,3.8455029
4.2844186,3.8455029
4.0324888,3.8455029
3.65784,3.8455029
3.6628113,3.8455029
3.6166155,3.8455029
3.7167592,3.8455029
3.9779768,3.8455029
4.0904088,3.8455029
4.0289674,3.8455029
4.2181172,3.8455029
3.7554007,3.8455029
4.1256561,3.8455029
3.8348374,3.8455029
3.9546492,3.8455029
3.8015575,3.8455029
4.0848298,3.8455029
3.7162127,3.8455029
4.0767078,3.8455029
3.5852256,3.8455029
3.7627351,3.8455029
3.701839,3.8455029
3.5386479,3.8455029
3.788347,3.8455029
3.7062473,3.8455029
3.5213099,3.8455029
3.5698223,3.8455029
3.6737037,3.8455029
3.62292,3.8455029
3.616626,3.8455029
3.9699903,3.8455029
3.8303213,3.8455029
3.7882185,3.8455029
3.7973876,3.8455029
3.8179433,3.8455029
3.8651857,3.8455029
3.8863692,3.8455029
4.1694241,3.8455029
3.8921223,3.8455029
3.8542202,3.8455029
3.8879838,3.8455029
3.6120152,3.8455029
3.2304444,3.8455029
3.8760862,3.8455029
3.4643002,3.8455029
3.3043599,3.8455029
3.543061,3.8455029
3.6000934,3.8455029
3.6763461,3.8092873
3.6048086,3.8092873
3.6323504,3.8092873
3.817692,3.8455029
3.6286831,3.8455029
3.724772,3.8455029
4.1392479,3.8455029
4.1679049,3.8455029
4.3113737,3.8455029
3.7114613,3.8455029
3.8299809,3.8455029
4.1082406,3.8455029
4.0477428,3.8455029
4.0865431,3.8455029
4.0662169,3.8455029
3.9320543,3.8455029
4.0154376,3.8455029
3.8445613,3.8455029
3.9404006,3.8455029
3.9798586,3.8455029
3.9027607,3.8455029
3.970458,3.8455029
3.8313727,3.8455029
3.9452944,3.8455029
3.7614202,3.8455029
3.7989631,3.8455029
3.8709469,3.8455029
3.8241651,3.8455029
3.5996671,3.8455029
3.7343082,3.8455029
3.7596066,3.8455029
3.4802935,3.8455029
3.8151169,3.8455029
4.0927024,3.8455029
3.9596508,3.8455029
3.8957961,3.8455029
3.8433914,3.8455029
3.6068509,3.8455029
3.9071677,3.8455029
3.7298448,3.8455029
3.7986944,3.8455029
3.6515052,3.8455029
3.6250021,3.8455029
3.2594001,3.8092873
3.4303918,3.8455029
3.9009693,3.8092873
3.8225818,3.8455029
3.9159296,3.8455029
3.7907922,3.8455029
4.1305733,3.8455029
4.2029138,3.8455029
3.428915,3.8455029
3.6798742,3.8455029
3.7920558,3.8455029
4.0930805,3.8455029
4.190258,3.8455029
3.8311379,3.8455029
3.9229758,3.8455029
3.8413706,3.8455029
3.9842088,3.8455029
4.1571102,3.8455029
3.9729879,3.8455029
3.9403157,3.8455029
4.0288696,3.8455029
4.1738367,3.8455029
3.7983389,3.8455029
4.1300206,3.8455029
3.9762981,3.8455029
4.0003853,3.8455029
3.9890115,3.8455029
3.6776738,3.8455029
3.6663437,3.8455029
3.6813517,3.8455029
3.8371463,3.8455029
3.9293499,3.8455029
3.7933254,3.8455029
3.6920769,3.8455029
3.6053014,3.8455029
3.6528952,3.8455029
3.8649695,3.8455029
3.5762422,3.8455029
3.8035097,3.8455029
3.8875649,3.8455029
4.2200193,3.8455029
4.1250758,3.8455029
3.9934938,3.8455029
3.6811516,3.8455029
3.8902903,3.8455029
3.7477138,3.8455029
3.992913,3.8455029
3.924525,3.8455029
3.6673386,3.8455029
3.827879,3.8455029
3.8692138,3.8455029
4.1253071,3.8455029
3.8604779,3.8455029
3.8791885,3.8455029
3.7130911,3.8455029
3.8417895,3.8455029
3.7849798,3.8455029
3.8965657,3.8455029
3.8511496,3.8455029
3.7984719,3.8455029
3.4644091,3.8455029
3.6455102,3.8455029
3.6218488,3.8455029
3.7508736,3.8455029
3.7991931,3.8092873
3.5877042,3.8092873
3.6742008,3.8092873
3.6508844,3.8092873
3.7491934,3.8092873
3.7380006,3.8455029
3.8884969,3.8455029
3.8522282,3.8455029
4.0095253,3.8455029
4.1054387,3.8455029
4.0627818,3.8455029
4.246439,3.8455029
3.5881505,3.8455029
3.7645411,3.8455029
3.7541988,3.8455029
4.1231403,3.8455029
4.1161008,3.8455029
3.9695358,3.8455029
4.0301847,3.8455029
3.8806555,3.8455029
4.1612439,3.8455029
3.8810244,3.8455029
4.2594485,3.8455029
4.0636339,3.8455029
3.7058008,3.8455029
4.1514592,3.8455029
3.8190532,3.8455029
3.9536562,3.8455029
3.8637321,3.8455029
4.1111913,3.8455029
4.223289,3.8455029
4.0230479,3.8455029
4.4733653,3.8455029
4.0504851,3.8455029
3.8283892,3.8455029
3.7391696,3.8455029
3.7367764,3.8455029
4.1461926,3.8455029
4.0300303,3.8092873
3.7888672,3.8092873
4.2690978,3.8092873
3.8804801,3.8455029
3.5273159,3.8455029
3.6484458,3.8092873
3.7694745,3.8455029
3.6295667,3.8455029
3.5688164,3.7114458
3.7975435,3.7114458
3.8456302,3.8092873
3.989639,3.8092873
3.7946489,3.8092873
4.0490174,3.8455029
4.1691937,3.8092873
3.9552462,3.8092873
3.7831943,3.8455029
3.9334564,3.8455029
3.8880253,3.8455029
4.1012278,3.8455029
4.0804572,3.8455029
3.9100244,3.8455029
4.0426173,3.8455029
4.1560116,3.8455029
3.7499366,3.8455029
3.7136557,3.8455029
3.8122923,3.8455029
4.2483554,3.8455029
3.9542117,3.8455029
4.147902,3.8455029
3.8776166,3.8455029
3.9626484,3.8455029
3.7284675,3.8455029
4.1721888,3.8455029
3.8313725,3.8455029
3.8320467,3.8455029
3.811233,3.8455029
3.8637075,3.8455029
3.8373795,3.8455029
3.7580433,3.8455029
4.0642056,3.8455029
3.6028121,3.8455029
3.8067875,3.8455029
3.5111272,3.8455029
3.8925655,3.8455029
3.9389904,3.8455029
4.1558933,3.8455029
3.984329,3.8455029
4.0250258,3.8455029
3.9662912,3.8455029
3.8231146,3.8455029
3.6695645,3.8455029
3.8708167,3.8455029
3.7024362,3.8455029
3.6023521,3.8455029
3.804709,3.8455029
3.8281975,3.8092873
3.8093145,3.8092873
3.753212,3.8092873
3.843673,3.8092873
3.860554,3.8455029
3.868217,3.8455029
3.7726619,3.8455029
3.6605942,3.8092873
3.5850341,3.7114458
3.7958715,3.8455029
3.2555242,3.7114458
3.8594813,3.7114458
3.77719,3.8092873
3.8027773,3.8092873
3.7141001,3.8092873
3.9084938,3.8092873
3.6861508,3.8092873
3.9208462,3.8455029
3.7976089,3.8455029
3.8404703,3.8455029
4.2088032,3.8455029
4.0823679,3.8455029
4.142293,3.8092873
4.1577468,3.8092873
4.3307033,3.8092873
3.6877089,3.8455029
3.9140489,3.8455029
3.6944127,3.8455029
3.8827252,3.8455029
3.9190927,3.8455029
3.7661073,3.8455029
3.9701531,3.8455029
3.8786705,3.8455029
4.1005697,3.8455029
4.0238433,3.8455029
3.872673,3.8455029
3.8078439,3.8455029
3.781595,3.8455029
3.8148563,3.8455029
3.7460408,3.8455029
4.1126695,3.8455029
3.985142,3.8455029
4.0655975,3.8455029
3.9764349,3.8455029
3.6952732,3.8455029
3.9247665,3.8455029
3.8805988,3.8455029
3.9911399,3.8455029
4.0761056,3.8455029
3.8943224,3.8455029
3.7888808,3.8455029
4.2113018,3.8455029
3.4433472,3.8455029
3.7651253,3.8455029
3.8049319,3.8455029
3.9562526,3.8455029
3.6132338,3.8455029
3.752491,3.8455029
3.4877872,3.8455029
3.5930114,3.8455029
3.5868328,3.8455029
3.6164744,3.8455029
3.7377663,3.8455029
3.6098733,3.8455029
3.7716475,3.8455029
3.822886,3.8455029
3.9935279,3.8455029
4.2007227,3.8455029
3.8164256,3.8455029
3.8440769,3.8455029
3.6256349,3.8455029
3.7457993,3.8455029
3.4465837,3.8455029
3.6691909,3.8455029
3.5126946,3.8455029
3.7702773,3.8455029
3.6848125,3.8455029
3.8261054,3.8455029
3.7608714,3.8455029
3.7187185,3.8455029
4.1003428,3.8092873
3.7530079,3.8092873
3.8612692,3.8092873
3.7485855,3.8092873
3.8215001,3.8092873
3.8494449,3.8455029
4.1923609,3.8455029
3.9576001,3.8092873
3.8618138,3.8455029
3.3938298,3.8455029
3.552357,3.7114458
3.7505662,3.7114458
3.5330768,3.7114458
3.9560745,3.8092873
3.8220162,3.8092873
3.822973,3.8092873
3.7990971,3.8092873
4.0246348,3.8455029
4.0898347,3.8455029
4.1717734,3.8092873
3.7962494,3.8455029
3.7420213,3.8455029
3.6874986,3.8455029
3.6104119,3.8455029
3.7972047,3.8455029
3.8039296,3.8455029
3.6574843,3.8455029
4.0968561,3.8455029
4.2034812,3.8455029
4.1434951,3.8455029
3.9841347,3.8455029
4.246778,3.8455029
4.1026349,3.8455029
4.2147441,3.8455029
3.819515,3.8455029
3.8938043,3.8455029
3.7896259,3.8455029
4.0540819,3.8455029
4.0801325,3.8455029
3.9711566,3.8455029
3.7733974,3.8455029
4.1503139,3.8455029
3.8953264,3.8455029
4.0537076,3.8455029
3.7367022,3.8455029
4.1710992,3.8455029
3.5802035,3.8455029
3.7477517,3.8455029
4.0156116,3.8455029
4.0732765,3.8455029
4.0181966,3.8455029
3.7534146,3.8455029
3.5451179,3.8455029
3.6889572,3.8455029
3.586884,3.8455029
3.7449038,3.8455029
3.735851,3.8455029
