clust_HDDS,clust_HDDS_ipczone_predict_m3
5.5625,4.8964868
6.125,5.3670564
5.625,5.3670564
6,6.1476688
6.4375,6.1476688
6.3125,5.1148286
5.5625,4.8053079
4.75,4.9568524
5.125,4.5942683
5.75,5.4693532
5.4375,
4.75,5.0581112
5.875,5.3953061
4.875,
4.6875,
5,
5.4375,
5.375,
5.125,
5.4375,
5.3125,
5.375,5.1241755
5.625,5.2438107
6.5625,5.7203341
6.125,
6.25,
4.8125,5.0211906
4.8125,5.0211906
6.125,5.0211906
5.375,4.9944925
4.625,5.367559
5.8125,5.664216
5.5625,5.3966961
5.25,5.3966961
5.375,5.5891414
5.5,5.7674489
5.625,5.7441635
6.125,5.7441635
4.3125,5.664216
4.6875,5.2651892
6,5.664216
6.0625,5.664216
5.375,5.5891414
6.3125,5.1273355
5.1875,5.1273355
5.3125,5.1273355
5.9375,5.1767483
4.5625,5.1767483
4.8125,4.9027472
5.1875,4.9027472
4.875,5.0108271
5.0625,5.0108271
4.75,5.0108271
3.875,4.9787836
4.5,4.9787836
4.5,4.9787836
4.0625,4.9787836
5,4.9033213
5.6875,4.9033213
4.875,4.7850962
4.5,4.7850962
3.875,4.7850962
5.5625,5.3085003
5.3125,5.3085003
5.9375,5.3085003
6.5,5.8323684
6.0625,4.9787836
5.3125,5.8323684
5.8125,5.8323684
6.25,4.9787836
5.0625,4.5646939
4.875,4.5646939
3.75,4.5646939
4.4375,4.4957781
4.75,4.8749547
5.0625,5.3760867
4.75,5.7081947
5.375,5.7081947
6,5.5274229
5.9375,5.5274229
5.375,
5.375,
5.0625,5.193152
5,5.193152
5.5625,5.4910078
5.875,5.4910078
5.125,5.3733788
5.75,5.3733788
4.6875,5.4910078
5.6875,
5.0625,
5.125,
6.125,
4.75,
4.8125,
4.875,
5.5,
4.125,
4.75,4.8503489
4.125,5.193152
4.8125,4.8140392
6.0625,5.7081947
6,5.7081947
6.75,
6.25,
5.375,4.9256701
4.9375,4.884902
4.75,5.1088281
5.75,5.1088281
5.5,5.7490773
6.6875,5.6047525
4.25,5.2165008
4,5.2165008
5.6875,5.2165008
5.375,4.8849297
4.875,4.8849297
