clust_HDDS,clust_HDDS_TA_predict_m3
5.625,5.3683057
5.4375,4.9114156
6.0625,6.0856338
5.5,5.0692325
5.75,5.3714104
5.25,5.2979121
5.375,5.2979121
4.9375,5.0267553
5.4375,5.0433164
4.5625,5.2891579
4.6875,4.8642879
5.8125,
5.625,4.6302857
5.125,4.6302857
5.8125,4.6561656
5.4375,4.6908493
5.6875,4.6631513
5.0625,4.6631513
5.375,5.2431154
5.375,5.0312047
4.875,4.8029485
5.0625,4.9227753
4.4375,5.2884507
6.3125,5.7988086
6.25,6.1550746
6.4375,6.5984945
5.9375,6.681623
4.8125,4.7640986
5.8125,5.2603922
5.5,5.0319562
5.75,5.3004413
4.875,5.0293574
6.125,6.4240551
6.125,6.2756867
4.75,4.8917193
4.625,5.3242717
5.375,4.8749247
5,4.856566
4.8125,4.813993
5.1875,4.9100065
4.375,4.9798579
5.4375,5.2081513
5.125,5.4332366
5.5,5.9350219
4.875,4.7270403
5.5625,4.6809158
6.125,5.387598
5.625,5.256319
6,6.0314355
6.4375,6.2882233
6.3125,6.2271228
5.5625,4.7426057
4.75,4.5910611
5.125,4.5279441
5.75,5.4820275
5.4375,
4.75,4.9892044
5.875,5.1818228
4.875,
4.6875,
5,
5.4375,
5.375,
5.125,
5.4375,
5.3125,
5.375,5.0312047
5.625,5.2884507
6.5625,6.3640242
6.125,
6.25,
4.8125,4.9272127
4.8125,4.8252888
6.125,5.9213791
5.375,5.2408385
4.625,5.3135939
5.8125,5.3695297
5.5625,5.4715962
5.25,5.1653605
5.375,5.0854998
5.5,5.3665872
5.625,5.8146815
6.125,5.8146815
4.3125,4.6999788
4.6875,5.0269861
6,5.9762249
6.0625,6.4382334
5.375,6.0364165
6.3125,4.9883456
5.1875,4.7553706
5.3125,5.0754924
5.9375,5.2303662
4.5625,4.9338546
4.8125,4.9075823
5.1875,4.8276248
4.875,5.1007032
5.0625,4.8877678
4.75,4.9798579
3.875,5.0807633
4.5,4.79001
4.5,5.3486953
4.0625,4.5452547
5,4.9811888
5.6875,4.7270403
4.875,4.8350315
4.5,4.7489758
3.875,4.7489758
5.5625,5.1681366
5.3125,4.9173388
5.9375,5.256319
6.5,6.1795769
6.0625,5.8487339
5.3125,5.4469175
5.8125,5.4035478
6.25,5.8545017
5.0625,4.7040896
4.875,5.0042787
3.75,
4.4375,4.5910611
4.75,4.6850624
5.0625,5.2003069
4.75,5.1769352
5.375,5.1465621
6,5.4820275
5.9375,5.3427472
5.375,
5.375,
5.0625,4.9114156
5,4.9892044
5.5625,5.1847687
5.875,5.4998007
