clust_HDDS,clust_HDDS_clust_predict_m3
3.125,4.4705749
6,6.3955584
3.6875,4.8871627
4.75,4.6628203
5.8125,6.3397765
3.875,4.2714143
4.4375,4.7190795
4.75,5.3089571
5.0625,4.8196373
6.1875,6.1497726
5,5.1777921
4.5,4.5505624
3.625,4.2087154
4.4375,4.7320991
4.125,5.1128197
5.0625,4.8915105
5.6875,5.2666316
4.8125,4.9556017
4.75,5.1815734
5.0625,5.4157791
5.125,5.3678493
6.1875,6.0873365
4.8125,4.4876742
5.6875,5.0469623
5.125,4.9515471
4.3125,4.6070957
3.8125,4.5642762
4.6875,4.7741885
4.125,4.425036
4.3125,4.9365416
3.9375,4.4379997
5.0625,4.8858824
6,5.8389764
4.75,
5.8125,5.5516915
4.625,4.8976994
5.9375,5.6307673
6.125,5.8248911
6.1875,6.0252085
6.3125,6.4401751
4.5625,4.6632361
4.1875,5.0365815
4.1875,5.0890346
5.375,5.1717467
4.8125,4.812149
5.5625,5.3479662
5.375,4.8538246
4.4375,4.8705893
4.6875,5.5557947
5,5.7047586
5.9375,5.8211856
4,4.7042255
4,5.0112634
4.375,5.0109153
4.5,4.8360291
4.1875,4.7129488
3.875,4.7944541
4.4375,4.580266
4,4.8999906
4.3125,5.0429554
4.5625,4.7508264
4.4375,4.4404273
4.9375,4.7010374
4.1875,4.5733156
4,4.47788
3.875,
5.9375,6.326364
4.75,5.136868
4.8125,4.88234
5.125,4.8713226
4,4.7428021
5,4.2541285
4.875,4.9645472
5.9375,5.5777049
4.8125,4.7473531
4.625,4.9665709
6,6.0283132
4.5625,4.7132063
4.75,4.9269137
4.75,5.0174179
5.5625,5.9517474
3.5,4.6855326
4.25,5.1013379
3.75,4.5001607
4,4.7242537
5.0625,5.2285352
4.5625,4.3047299
4.1875,4.9453807
5.3125,4.8457651
4.5625,4.7285328
6,6.1592765
6.375,6.3624272
6.375,6.1216545
6.75,6.5143929
