clust_logFCS,clust_logFCS_clust_predict_m3
3.9700658,3.8770146
3.9740949,3.7470565
4.0423613,3.9269643
4.132751,4.0224323
3.5039699,3.708672
3.5647979,3.746094
3.9571698,4.1248269
4.0548263,4.2923369
3.8807201,4.0147572
4.0847344,3.8783565
3.8203382,3.6941338
3.8733225,3.8593895
4.0828404,3.9532154
3.7540188,3.7701252
3.7123218,3.7063475
3.7871675,3.7112696
3.8290179,3.8349173
3.6330421,3.8211699
3.5129116,3.7566106
3.4700599,3.6731884
3.7969377,3.6768458
3.7337303,3.6905177
3.5810254,3.6094024
3.8072,3.9185803
3.8458664,3.8673928
3.6360345,
3.7424657,
3.5088694,3.651809
3.9281611,3.8463936
3.7886827,3.7527463
4.0185342,3.8921599
4.2014508,4.1698127
3.9381959,4.0166907
3.7903481,3.8913136
3.8999734,3.8226998
4.0649905,4.0045171
3.8101511,3.8003302
3.734107,
3.6278491,
3.6267924,3.6138599
3.6546645,3.6947348
3.7738068,3.8087871
3.7465913,3.8479135
3.8607512,3.8226542
3.9856348,3.862005
4.0303631,3.920835
3.7561445,
3.793354,
3.7325153,3.7800863
3.7734056,3.7492752
3.8799105,3.8463156
4.157424,3.9625089
3.861671,3.8465443
4.0268712,3.8945751
3.7149696,3.7907102
3.8723497,
3.6740143,
3.7110231,
4.0998125,
3.5515015,
3.6728477,
3.7046404,
3.8217645,
3.5007548,
3.6263626,3.6910372
3.4994767,3.7860198
3.719039,
4.0493155,3.9387112
4.0753093,4.0717602
4.5218005,
4.2287679,
3.6575587,3.7972865
3.7153931,3.7712803
3.5921345,3.7672298
3.8338685,3.9633865
4.0500031,3.8938675
4.4506931,4.1738257
3.4386621,3.6261742
3.4970751,3.7402372
3.9072759,4.1100106
3.7071161,3.8723652
3.7113237,3.847142
3.4631667,3.5772848
3.6348729,3.8551326
4.0815754,4.0772214
3.5251071,3.7336586
3.6214542,3.6841459
3.5940809,3.819201
3.4005225,3.7820344
3.6394231,3.7377501
3.7091131,3.9183204
3.6045275,3.8162041
3.1962385,3.6876187
4.0172911,4.1902094
3.3965664,3.7384355
3.8185904,3.6830344
4.0982165,4.1910119
3.5331571,3.501286
3.5485477,3.7429214
3.6948891,3.8550398
3.6600847,3.7402794
4.1019239,4.0859942
3.7911065,3.8524268
3.6834636,3.6869493
3.3471808,3.542959
3.7502642,3.7255161
3.4869084,3.7965069
3.7665718,3.690922
3.8569782,3.8143563
3.6652234,3.7338161
3.5847678,3.7793539
3.7999172,3.9101129
3.843709,3.8767016
4.0959139,4.1109247
3.6827257,3.6271961
3.8491385,3.7048116
3.77423,3.767489
3.6260777,3.6740191
3.4503989,3.6344903
3.6716833,3.7358413
3.5983672,3.6224809
3.7041273,3.7340338
3.5975187,3.5810044
3.8041813,3.7768478
3.974762,4.0111947
3.7343276,
3.9371347,3.9249096
3.6511688,3.7446301
4.0052867,3.96964
4.0668554,4.00806
4.1440897,4.0471873
4.1809835,4.2039614
3.5574934,3.6714425
3.465596,3.8193877
3.5732334,3.8091004
4.0591154,3.7850919
3.96422,3.7879376
3.9536719,3.8423622
3.9835513,3.7718167
3.6447661,3.6832092
3.8073738,3.9444325
3.6342654,3.9917352
4.0276194,4.0313768
3.5113714,3.7445428
3.7830005,3.8676374
3.8587115,3.8833272
3.6719575,3.7543206
3.5969834,3.7031198
3.3985407,3.7589958
3.5757735,3.6466241
3.4812198,3.7450273
3.695091,3.8221364
3.6110628,3.7055049
3.648488,3.6584942
3.7610683,3.6746531
3.6458299,3.6002922
3.5760016,3.642132
3.4509323,
4.102891,4.1370535
3.5860262,3.8101516
3.6482675,3.7227256
3.8718994,3.7653046
3.642993,3.6975026
3.7997458,3.5734582
3.5383146,3.7748809
4.0129547,3.9281452
3.5351419,3.6694763
3.5473676,3.7611156
4.1563544,4.0364437
3.5604608,3.7092109
3.7065463,3.7693911
3.6839414,3.8050151
3.9299369,3.9973423
3.4188042,3.7156289
3.6513655,3.758801
3.4565077,3.6439757
3.5727167,3.7563455
3.8699934,3.8640687
3.8246684,3.6177366
3.5242543,3.743983
3.846525,3.7480209
3.6657221,3.7249668
4.0402508,4.1342788
4.2241273,4.2137766
4.2935615,4.101572
4.4004464,4.2322707
