"","yearmon","CHIRADZULU","MISUKU","NTCHISI","NSUNDWE","BALAKA","RUMPHI","DWANGWA","CHIKWAWA","LIMBE","LUNZU","NCHALO","NGABU","CHITIPA","NTHALIRE","BEMBEKE_TURNOFF","CHIMBIYA","MTAKATAKA","THETE","BOWE","DOWA","MADISI","MPONELA","NAMBUMA","CHILUMBA","KARONGA","CHAMAMA","CHATOLOMA","KASUNGU","NKHAMENYA","SANTHE","KASIYA","LILONGWE","MITUNDU","NANJIRI","NKHOMA","LIWONDE","NAMWERA","NTAJA","MANGOCHI","MONKEY BAY","MCHINJI","MKANDA","MULOZA","MWANZA","EMBANGWENI","JENDA","MZIMBA","MZUZU","NENO","CHINTHECHE","MPAMBA","NKHATABAY","MWANSAMBO","NKHOTAKOTA","BANGULA","NSANJE","LIZULU","NTCHEU","NTONDA","SHARPEVALEY","TSANGANO_TURNOFF","MALOMO","PHALOMBE","HEWE","SALIMA","BVUMBWE","LUCHENZA","JALI","MAYAKA","THONDWE","ZOMBA","MIGOWI"
"94","201509",0,0,1,0,0.25,0,0,0.25,1,0.25,0.25,0.25,0.25,1,0.25,0.25,0.25,0.25,0,1,1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,0.5,0.25,0.25,0,0.25,0.25,1,0.25,1,0.25,0.5,0.25,0,0,1,0.25,0.25,0.25,0,1,1,0.25,0.25,0.25,0.5,0,0.5,0.75,0.25,0,0.25,0.25,0,0.25,0.25,1
"95","201510",0.25,0.25,1,1,0.25,0,1,1,1,0,0,0,0,1,0,1,1,0.5,1,1,1,0.75,0,0,0.25,0.5,1,1,1,1,1,0.25,0,1,1,1,0.25,0,0.75,0,1,1,0,1,1,0.25,1,0,0.5,1,1,1,0.75,1,1,0,1,0.25,0.5,1,0.5,0.5,0,0.75,0.5,1,0,1,0,1,1,0
"96","201511",1,0,1,0.8,0.2,0,0.6,0.8,0.8,0.8,0.6,0.8,0.6,0.6,1,0.8,1,0.4,1,1,1,0.8,0.2,0,0,1,0.8,1,1,0.8,1,0.4,0.2,0.8,0.4,1,0.2,0,0,0.6,0,0.2,1,0.4,0.8,0.4,0.8,0,0.2,0.6,1,0.4,0.8,0.2,1,0.2,0.8,0.6,0.6,0,0.8,0.4,0.2,0.6,0.6,0.2,0.2,0.8,0.6,0.8,1,1
"97","201512",1,0.25,1,0,1,0.5,0.5,1,1,0,1,1,0.25,0.25,1,1,0.75,0,1,1,1,0.75,1,1,0.75,0.75,1,0.75,0.75,1,1,0.75,0.5,0.5,0.75,1,0.75,0.75,0.5,0.75,1,0.25,0.5,0.75,1,0.25,1,1,0.25,0.25,1,0.75,1,1,0.5,1,1,1,0.5,0.5,0.75,0.25,1,0.75,1,1,0.25,1,0.25,1,1,1
"98","201601",0,0.4,1,0.8,0,0,0.2,1,0.6,0.6,0.6,0.6,0.4,0.2,0.6,0.6,0.8,0.4,1,1,1,0.4,0.6,0.2,0,0.8,0.2,0.2,0.2,0.6,0.8,0.6,0.2,0.6,0.4,1,0.8,1,0.4,0.8,0.8,0.8,0.2,0.4,0.2,0.2,0.4,0.6,0,0.6,0.8,0.4,0.4,0.4,1,0,0.6,0.8,0.8,1,0.4,0.4,0.8,0.6,1,0.2,0.4,0,0.6,1,1,1
"99","201602",0.25,0.75,1,0,0,0,0.25,1,1,0.5,0.75,0.75,0.75,1,1,1,0.5,1,1,1,1,1,1,0.25,0.75,1,0,0.25,0.75,1,1,0.75,0,0,0,1,1,0.75,0.75,0,1,1,1,0.75,0,0.25,0,0.75,0.75,0.75,1,0,0.25,1,1,0,1,0.75,1,1,1,1,0.75,0.5,0.75,1,0.75,0.25,1,1,1,1
"100","201603",0.25,0.75,1,0,0.25,0,1,1,0.75,0,0.25,0.25,0.25,1,1,0.5,0,0.25,1,0,1,1,1,1,0.75,1,0,0,0.25,0.25,0.75,0,0.25,0.25,0.25,1,0.5,0.25,0,1,1,1,1,0.25,0.25,0,0.75,0.25,0.25,0.25,1,0.25,0.5,1,1,0,1,0,0.25,1,1,0.5,0.25,0.5,0.5,1,0,1,0.25,1,1,1
"101","201604",1,0.25,1,1,0,0.25,1,1,1,0.25,1,1,0,1,1,0.25,0,0.5,1,1,1,1,1,1,0,1,0,0,0,0.5,1,0.5,0,1,0.25,1,0.75,0.25,0,1,0.5,0.75,1,0.75,1,0,1,0,0,0.75,1,0,0.25,1,1,0,1,0.5,0.25,1,0.75,0,0,0.5,0,1,1,0.25,0.25,1,1,1
"102","201605",0.6,0.6,1,0,0.2,0,1,1,0.8,0,1,1,0.2,1,1,0.2,1,0,1,1,1,0.8,1,0,0,1,0,0.2,0.6,1,0.2,0.2,0,0,0,1,0.4,0,0,0.6,0.6,0.4,0.2,0.2,0.6,0,0.2,0,0.2,0.4,1,0,0.6,0.8,1,0,0.4,0.2,0.8,1,0.4,0,0.2,0.6,0.4,1,0.2,0.2,0.4,1,1,1
"103","201606",1,0.5,1,0,1,0,1,1,1,0.25,1,1,0,1,1,0.25,0.25,0,1,1,1,0.75,1,0,0,1,0.25,1,0.75,0.75,0.5,1,0.5,0,0.75,1,1,0.25,0.75,1,0.5,0.25,1,0.5,0.75,0.25,0.75,0,0,0.5,1,0,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.75,0.25,0.75,0.25,1,1,0,0.25,0.5,1,1
