ea_id,LAT_DD_MOD,LON_DD_MOD
10307413,-11.7643,34.1954
10401140,-10.9995,33.7092
10307413,-11.729789,34.301031
10401140,-10.9995,33.7092
10401140,-14.131458,34.152879
10401140,-10.991591,33.921646
10401502,-10.9368,33.9124
10401140,-10.9995,33.7092
10401502,-10.9368,33.9124
10401502,-11.439218,34.019523
10401140,-10.9995,33.7092
10401502,-10.9368,33.9124
10401140,-10.9995,33.7092
10401140,-15.331578,34.935594
10401502,-10.9368,33.9124
10401140,-15.810942,34.992806
10401502,-10.9368,33.9124
10401140,-13.672113,32.818255
10401140,-10.9995,33.7092
10401502,-10.9368,33.9124
10401140,-10.240934,33.569214
10401140,-10.9995,33.7092
10401140,-10.9995,33.7092
10401502,-10.9368,33.9124
10401140,-10.912307,33.67697
10401502,-10.9368,33.9124
10401140,-11.117955,33.718737
10401140,-14.212005,33.807109
10401502,-10.9368,33.9124
10401140,-11.001253,33.888657
10401502,-14.702081,35.661752
10401140,-10.9995,33.7092
10401502,-14.495291,35.269663
10401140,-11.4378,34.00773
10401502,-10.9368,33.9124
10401140,-10.9995,33.7092
10401502,-10.9368,33.9124
10404186,-10.6387,34.1824
10401502,-10.9368,33.9124
10404186,-10.6387,34.1824
10405213,-9.932468,33.927202
10404186,-10.6387,34.1824
10405213,-10.6794,34.0775
10404186,-10.6387,34.1824
10405213,-10.6794,34.0775
10404186,-10.6387,34.1824
10405213,-10.6794,34.0775
10404186,-10.16112,33.998054
10405213,-10.6794,34.0775
10404186,-10.6387,34.1824
10405213,-11.231233,33.985359
10405213,-10.6794,34.0775
10404186,-10.6387,34.1824
10405213,-10.95703,33.96655
10404186,-10.6387,34.1824
10404186,-10.734451,34.168061
10405213,-10.6794,34.0775
10404186,-10.786366,34.064585
10405213,-10.6794,34.0775
10405213,-10.6794,34.0775
10405213,-10.744606,34.021889
10404186,-10.6387,34.1824
10405213,-10.6794,34.0775
10404186,-10.6387,34.1824
10405213,-10.6794,34.0775
10404186,-10.550007,34.18714
10405213,-10.6794,34.0775
10404186,-10.6387,34.1824
10405213,-10.6794,34.0775
10405213,-10.621267,34.063226
10404186,-10.6387,34.1824
10405213,-10.6794,34.0775
10405213,-11.453363,34.003727
10405213,-10.6794,34.0775
10404186,-10.6387,34.1824
10405213,-10.6794,34.0775
10501505,-12.2112,33.3271
10405213,-10.6794,34.0775
10501505,-12.2112,33.3271
10501709,-11.931914,33.506311
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501505,-11.372857,33.829686
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501709,-11.9792,33.4992
10501709,-11.9792,33.4992
10501505,-12.2112,33.3271
10501505,-11.569623,33.553159
10501709,-11.9792,33.4992
10502593,-11.3927,33.6488
10501709,-11.9792,33.4992
10502593,-11.910269,34.054166
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502268,-11.68221,33.735172
10502593,-11.3927,33.6488
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502593,-11.3927,33.6488
10502268,-11.285,33.7785
10502268,-11.285,33.7785
10505310,-11.3125,33.4799
10502268,-11.285,33.7785
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10503367,-11.89259,33.648686
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10503367,-11.93973,33.634287
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10505310,-11.3125,33.4799
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10503367,-11.8704,33.6791
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10503367,-11.442662,33.981837
10505310,-11.3125,33.4799
10503367,-11.8704,33.6791
10503367,-11.76853,33.668861
10503367,-11.949769,33.580546
10505508,-11.7819,33.5
10503367,-11.8704,33.6791
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505136,-11.638044,34.274791
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10505508,-11.7819,33.5
10505136,-11.7313,33.5342
10507175,-12.6592,33.6304
