logFCS,logFCS_new
3.3322046,3.6702063
3.9415817,3.683876
3.9318256,3.683876
3.7013021,3.7234249
3.4499876,3.683876
3.6109178,3.683876
4.3438053,3.683876
3.5263605,3.683876
4.3107991,3.683876
3.7013021,3.683876
4.1108737,3.683876
3.6888795,3.6076443
3.9219732,3.683876
4.2766662,3.6995168
3.9120231,3.683876
4.2556129,3.683876
3.8177123,3.683876
3.5115454,3.683876
3.5263605,3.5827703
3.9318256,3.5827703
4.1743875,3.5827703
3.8607297,3.5827703
3.4499876,3.5827703
4.2766662,3.5827703
4.0342407,3.5827703
3.871201,3.5827703
3.8918202,3.6995168
4.2195077,3.5827703
3.9608133,3.5827703
3.9982007,3.5827703
3.8394523,3.5827703
3.7256935,3.5827703
3.8918202,3.8014758
3.8918202,3.5827703
3.9889841,3.5827703
3.9318256,3.5827703
4.2904596,3.7526846
3.7954891,3.7526846
3.9889841,3.7526846
3.8394523,3.683876
3.7841897,3.7526846
3.6888795,3.7526846
4.4543471,3.7526846
3.7376697,3.7526846
3.5115454,3.7526846
3.6375861,3.7526846
3.6375861,3.7526846
3.6888795,3.7526846
4.1271343,3.7526846
3.8177123,3.7526846
3.6375861,3.7526846
3.9019728,3.7526846
3.5115454,3.7526846
3.713572,3.7526846
3.5115454,3.7526846
3.6375861,3.7526846
4.3241324,3.7526846
3.1780539,3.7316077
3.8501475,3.7316077
3.4011974,3.7316077
3.5115454,3.6076443
3.3843904,3.7316077
3.0204248,3.7316077
3.6109178,3.7316077
3.3499041,3.6995168
3.1354942,3.6995168
2.6390574,3.683876
3.8918202,3.6995168
3.4657359,3.7863233
4.3694477,3.6995168
3.871201,3.6995168
4.1588831,3.6995168
3.5553482,3.6995168
3.4177268,3.7526846
3.2580965,3.6995168
3.6375861,3.6995168
3.198673,3.6995168
2.4849067,3.6995168
3.3843904,3.6995168
3.5973122,3.6995168
3.6109178,3.6995168
3.6109178,3.7526846
3.9512436,3.683876
3.3322046,3.6995168
3.5409594,3.6995168
4.1271343,3.683876
3.4339871,3.6995168
3.1354942,3.6995168
3.3322046,3.6995168
3.1780539,3.6995168
3.583519,3.6995168
3.8066626,3.6995168
3.713572,3.6658618
3.6888795,3.6995168
3.5263605,3.6995168
3.1780539,3.6995168
3.0910425,3.6995168
3.1354942,3.6995168
3.0445225,3.6995168
3.583519,3.683876
3.48124,3.6995168
3.6109178,3.7234249
3.6635616,3.7234249
3.4011974,3.7234249
3.8066626,3.7234249
3.6375861,3.7234249
3.3672957,3.7234249
3.7727609,3.7234249
3.4499876,3.7234249
3.4499876,3.8014758
4.1271343,3.6076443
3.4011974,3.7234249
3.6635616,3.7234249
3.8607297,3.7234249
3.8918202,3.7234249
3.2958369,3.7234249
3.3322046,3.7513492
3.4177268,3.7234249
3.198673,3.7234249
3.6375861,3.7127054
3.4339871,3.7234249
3.6888795,3.6076443
3.4657359,3.7234249
3.624341,3.7234249
3.7841897,3.7234249
4.0073333,3.7234249
4.0430512,3.7234249
4.1588831,3.7234249
3.4011974,3.7234249
3.5973122,3.7234249
3.4965076,3.7234249
4.1271343,3.576719
4.0943446,3.7267294
3.2386785,3.7234249
3.6888795,3.6995168
4.0163832,3.7234249
4.0604429,3.7234249
3.6375861,3.7015412
4.59512,3.7234249
4.0943446,3.7526846
4.5325994,3.7268653
4.2046928,3.6995168
4.356709,3.6995168
4.2766662,3.6076443
4.5432949,3.645206
3.7013021,3.7526846
4.5643482,3.6143496
4.1743875,3.7093034
2.3978953,3.7733941
3.4965076,3.6995168
3.6635616,3.6076443
3.8066626,3.7234249
4.0690269,3.7015412
3.4499876,3.7015412
3.5263605,3.7015412
