"","FNID","date","V","IPC","chirps_mean","chirps_min","chirps_max","EFF_YEAR","COUNTRY","ADMIN2","ADMIN3","chirps_mean_w.sum","chirps_max_w.sum","chirps_min_w.sum","price_mean","FNID_OLD.y","price_w"
"5341","MW2012C3030716","2011-04","V32"," 1",111.9905787,77.36408997,139.0993347,2012,"MW","Thyolo",NA,312.355797684197,387.96552488535,215.778169156754,29.639958,"10922716",42.9717591473295
"5342","MW2012C3030716","2011-05","V32"," 1",28.47636938,14.60510254,52.14933777,2012,"MW","Thyolo",NA,79.4241727839178,145.451056570449,40.7354663856308,33.236982,"10922716",45.029064480191
"5343","MW2012C3030716","2011-06","V32",NA,17.67178041,9.100034714,31.31764221,2012,"MW","Thyolo",NA,49.2888163499196,87.3488397653296,25.3811404052094,35.233798,"10922716",46.2425339712251
"5344","MW2012C3030716","2011-07","V32"," 1",27.39584953,14.43349075,40.82553101,2012,"MW","Thyolo",NA,76.4104671349411,113.867536470811,40.2568195371218,37.085248,"10922716",48.623814024299
"5345","MW2012C3030716","2011-08","V32",NA,15.02708085,6.659061909,26.89917374,2012,"MW","Thyolo",NA,41.9124169216091,75.0251759401214,18.572960498633,38.936698,"10922716",51.0050940773729
"5346","MW2012C3030716","2011-09","V32",NA,12.71194859,6.604254246,25.1126461,2012,"MW","Thyolo",NA,35.4552221092323,70.042325841883,18.4200950389283,40.867646,"10922716",53.11875074092
"5347","MW2012C3030716","2011-10","V32"," 1",31.69922512,21.39575386,39.35649109,2012,"MW","Thyolo",NA,176.826244908556,219.540399043727,119.350892576378,43.911596,"10922716",56.1109708446308
"5348","MW2012C3030716","2011-10","V32"," 1",31.69922512,21.39575386,39.35649109,2012,"MW","Thyolo",NA,176.826244908556,219.540399043727,119.350892576378,43.911596,"10922716",56.1109708446308
"5349","MW2012C3030716","2011-11","V32"," 1",95.10987525,67.28973389,125.6441879,2012,"MW","Thyolo",NA,265.273394389186,350.437429571811,187.67952402025,46.724546,"10922716",59.2888810660667
"5350","MW2012C3030716","2011-12","V32",NA,129.0616067,101.6205902,149.8277893,2012,"MW","Thyolo",NA,359.969040066963,417.888532993725,283.432596576625,48.409286,"10922716",61.1360349190931
"5351","MW2012C3030716","2012-01","V32"," 1",379.803129,328.5353394,446.3659363,2012,"MW","Thyolo",NA,1059.31865607682,1244.97069048577,916.32634813535,61.42263,"10922716",88.3866837579807
"5352","MW2012C3030716","2012-02","V32",NA,167.0202699,141.6777954,197.6078491,2012,"MW","Thyolo",NA,465.840521940659,551.153124225163,395.157175808982,60.13762,"10922716",86.5872267131938
"5353","MW2012C3030716","2012-03","V32",NA,149.2013307,122.2694397,184.8059692,2012,"MW","Thyolo",NA,416.141261232202,515.447072390806,341.024832742411,52.499904,"10922716",72.5267572863264
"5354","MW2012C3030716","2012-04","V32"," 1",91.19008316,61.97169113,122.3894196,2012,"MW","Thyolo",NA,254.340601655718,341.359471761207,172.846834452065,52.080544,"10922716",70.2107192349391
"5355","MW2012C3030716","2012-05","V32",NA,25.89550749,14.37192917,43.62848663,2012,"MW","Thyolo",NA,72.2258246396226,121.685331938266,40.0851165541493,55.01758,"10922716",72.4114579879998
"5356","MW2012C3030716","2012-06","V32",NA,19.5534301,9.799946785,34.39630508,2012,"MW","Thyolo",NA,54.5369737994549,95.9356174007556,27.3332831281401,60.628918,"10922716",79.5537853356355
"5357","MW2012C3030716","2012-07","V32",NA,21.72645326,11.03996277,32.70734406,2012,"MW","Thyolo",NA,60.5978084732919,91.2248928667496,30.7918435412745,68.425568,"10922716",95.5282365276299
"5358","MW2012C3030716","2012-08","V32",NA,8.710787665,3.773258924,15.18564796,2012,"MW","Thyolo",NA,24.2954814694492,42.3546805182926,10.5240933188877,69.916318,"10922716",99.0013981953494
"5359","MW2012C3030716","2012-09","V32",NA,10.00768479,5.082848072,19.84878922,2012,"MW","Thyolo",NA,27.9126905302121,55.3607675024774,14.1767020267853,67.998268,"10922716",95.4165091075854
"5360","MW2012C3030716","2012-10","V32"," 3",20.03497681,13.85400391,27.90882874,2012,"MW","Thyolo",NA,111.760136177811,155.682461233935,77.2811158342204,66.498884,"10922716",92.3166373696458
"5361","MW2012C3030716","2012-10","V32"," 3",20.03497681,13.85400391,27.90882874,2012,"MW","Thyolo",NA,111.760136177811,155.682461233935,77.2811158342204,66.498884,"10922716",92.3166373696458
"5362","MW2012C3030716","2012-11","V32"," 3",45.98504118,33.31669235,60.46894073,2012,"MW","Thyolo",NA,256.516117445861,337.310949476103,185.848883646911,68.9335,"10922716",90.8052429425488
"5363","MW2012C3030716","2012-11","V32"," 3",45.98504118,33.31669235,60.46894073,2012,"MW","Thyolo",NA,256.516117445861,337.310949476103,185.848883646911,68.9335,"10922716",90.8052429425488
"5364","MW2012C3030716","2012-12","V32",NA,252.4059355,208.4342651,280.3575439,2012,"MW","Thyolo",NA,703.991873588993,781.952422053757,581.349358988802,82.460444,"10922716",116.916200612474
