RCSI,RCSI_predict
0,-2.0882094
0,-2.0882094
3,-2.0882094
2,-2.0882094
0,-2.0882094
2,-2.0882094
0,-2.0882094
0,-2.0882094
4,-2.0882094
2,-2.0882094
0,-2.0882094
0,-2.0882094
0,-2.0882094
0,-2.0882094
11,-2.0882094
0,-2.0882094
3,-2.0882094
4,-2.0882094
35,-2.0882094
0,2.5589437
0,2.5589437
0,2.5589437
9,-1.9309886
0,2.5589437
0,2.5589437
0,2.5589437
11,-6.350718
8,-6.350718
0,-6.350718
0,-6.350718
8,-6.350718
0,-6.350718
1,-6.350718
2,-6.350718
0,-6.350718
3,-6.350718
2,-6.350718
0,-6.350718
9,-6.350718
14,-6.350718
9,-6.350718
4,-6.350718
6,-6.350718
0,-6.350718
0,-6.350718
17,-2.91857
4,-2.91857
18,-2.91857
2,-2.91857
14,-2.91857
14,-2.91857
6,-2.91857
0,-2.91857
0,-2.91857
0,-2.91857
0,-2.91857
9,-2.91857
0,-2.91857
10,-2.91857
14,-2.91857
22,-2.91857
17,-2.91857
0,-2.91857
0,3.943465
2,3.943465
16,3.943465
16,3.943465
0,3.943465
6,3.943465
15,3.943465
4,3.943465
0,-.54646742
0,-4.617713
0,.40849456
0,.40849456
0,.40849456
0,.40849456
6,.40849456
0,4.898427
0,.40849456
3,.40849456
0,.40849456
0,.40849456
12,-4.0814376
0,.40849456
0,.40849456
0,.40849456
0,2.0080292
0,2.0080292
0,2.0080292
17,2.0080292
14,2.0080292
0,2.0080292
0,2.0080292
4,2.0080292
0,2.0080292
0,-2.4819031
0,2.0080292
0,2.0080292
0,-2.4819031
0,2.0080292
0,-8.7340956
0,-4.244163
2,-8.7340956
0,-8.7340956
2,-8.7340956
0,-8.7340956
7,-8.7340956
0,-3.1144905
11,-8.7340956
0,-4.244163
0,-6.1929498
0,-6.1929498
14,-1.7030175
0,.016541181
0,.016541181
0,.016541181
0,.016541181
3,.016541181
0,.016541181
1,.016541181
0,.016541181
0,.016541181
0,.016541181
0,.016541181
0,.016541181
0,.016541181
0,.016541181
1,2.8629272
0,2.8629272
7,2.8629272
10,2.8629272
0,2.8629272
0,2.8629272
10,2.8629272
16,2.8629272
1,-1.6270051
28,2.8629272
11,2.8629272
0,2.8629272
0,2.8629272
0,2.8629272
0,-1.6270051
0,3.9926
0,-2.3251038
0,-2.3251038
0,-2.3251038
0,-2.3251038
2,-2.3251038
0,-2.3251038
4,-2.3251038
0,-2.3251038
6,-2.3251038
2,-2.3251038
0,-2.3251038
0,-2.3251038
0,-2.3251038
6,-2.3251038
0,-2.3251038
0,-2.3251038
35,-2.3251038
1,.36731976
7,-4.1226125
0,.36731976
0,.36731976
1,.36731976
0,.36731976
0,.36731976
4,.36731976
0,.36731976
14,.36731976
0,.36731976
7,.36731976
8,.36731976
0,.36731976
3,-.30703405
4,-.30703405
21,-.30703405
2,-.30703405
9,-.30703405
17,-.30703405
5,-.30703405
26,-.30703405
0,-.30703405
0,-.30703405
0,-.30703405
0,-.30703405
2,-.30703405
21,-.30703405
15,-.30703405
0,-.30703405
19,-.30703405
2,-.30703405
0,.24262953
3,.24262953
0,.24262953
2,.24262953
0,.24262953
3,.24262953
0,.24262953
0,.24262953
0,.24262953
28,.24262953
0,.24262953
0,.24262953
0,.24262953
16,.24262953
0,.24262953
7,.24262953
1,.24262953
0,.24262953
7,.24262953
5,.21267214
15,.21267214
0,.21267214
11,-4.2772603
22,.21267214
0,.21267214
20,.21267214
16,.21267214
14,.21267214
18,.21267214
13,.21267214
8,.21267214
0,.21267214
21,-.46794948
0,-.46794948
3,-.46794948
0,-.46794948
10,-.46794948
0,-.46794948
1,4.0219827
4,-.46794948
7,-.46794948
0,-.46794948
3,2.6712883
11,2.6712883
9,2.6712883
6,2.6712883
34,2.6712883
15,2.6712883
0,2.6712883
3,2.6712883
6,2.6712883
2,2.6712883
14,2.6712883
2,2.6712883
3,2.6712883
0,2.6712883
21,2.6712883
3,4.3891096
10,4.3891096
14,4.3891096
17,4.3891096
14,4.3891096
0,4.3891096
13,4.3891096
8,4.3891096
6,-.10082266
15,4.3891096
9,4.3891096
0,1.9355649
16,1.9355649
11,1.9355649
2,1.9355649
13,1.9355649
0,1.9355649
8,1.9355649
11,1.9355649
0,1.9355649
21,1.9355649
5,1.9355649
12,1.9355649
16,1.9355649
0,-4.0068345
0,-4.0068345
5,-4.0068345
12,-9.6264391
0,-4.0068345
0,-4.0068345
0,-4.0068345
0,-4.0068345
0,-4.0068345
0,-5.136507
6,-3.7607121
0,-8.2506447
0,-2.6310394
0,-3.3173265
10,-3.3173265
0,-3.3173265
12,-3.3173265
13,-3.3173265
5,-3.3173265
4,-3.3173265
2,-2.1876538
12,-3.3173265
3,-3.3173265
2,-3.3173265
17,-3.3173265
2,-3.3173265
2,-3.3173265
16,-3.0970812
3,-3.0970812
0,-3.0970812
0,-3.0970812
10,-3.0970812
28,-3.0970812
0,-3.0970812
3,-3.0970812
0,-3.0970812
0,-3.0970812
0,-3.0970812
0,-3.0970812
0,-3.0970812
0,-3.0970812
0,-3.0970812
0,-3.0970812
0,-4.1522989
0,-4.1522989
0,-4.1522989
0,-4.1522989
0,-4.1522989
0,-4.1522989
2,-4.1522989
28,-4.1522989
0,-4.1522989
0,-4.1522989
28,-4.1522989
0,-4.1522989
0,-4.1522989
0,-4.1522989
5,-4.1522989
0,-4.1522989
3,-4.6659946
0,-4.6659946
18,-4.6659946
7,-4.6659946
0,-4.6659946
12,-4.6659946
0,-4.6659946
7,-4.6659946
7,-4.6659946
0,-4.6659946
14,-4.6659946
6,-4.6659946
4,-4.6659946
0,-4.6659946
14,-4.6659946
6,-4.6659946
0,-3.6519721
0,-3.6519721
0,-3.6519721
