logFCS,logFCS_predict
3.4965076,3.7821343
4.1271343,3.7821343
4.0943446,3.7821343
3.2386785,3.7821343
3.6888795,3.7724721
4.0163832,3.7821343
4.0604429,3.7821343
3.6375861,3.7724721
4.59512,3.7821343
4.0943446,4.0586405
4.5325994,4.0683031
4.2046928,4.0586405
4.356709,4.0586405
4.2766662,4.0586405
4.5432949,4.0586405
3.7013021,4.0586405
4.5643482,3.9982409
4.1743875,4.0586405
2.3978953,4.0683031
3.4965076,3.9896939
3.6635616,3.9896939
3.8066626,3.9993563
4.0690269,3.6844654
3.4499876,3.6844654
3.5263605,3.6844654
4.2195077,3.6844654
3.5263605,3.6844654
3.4657359,3.6844654
3.3672957,3.6844654
3.6888795,3.6844654
3.3843904,3.6844654
3.8177123,3.6844654
3.6375861,3.6844654
3.48124,3.6844654
3.6109178,3.6844654
3.6375861,3.6844654
3.1354942,3.7825174
3.9318256,3.7825174
3.4339871,3.7825174
3.7256935,3.7825174
3.871201,3.7825174
3.871201,3.7825174
4.0943446,3.7825174
3.9796817,3.7825174
3.4177268,3.772855
3.0445225,3.7825174
3.9318256,3.7825174
3.1570003,3.7825174
3.3843904,3.7825174
3.7727609,3.7825174
3.0445225,3.772855
3.9982007,3.7124555
3.624341,3.6954534
3.5263605,3.6954534
3.3672957,3.6954534
3.9796817,3.6954534
3.2188759,3.6954534
3.2771447,3.6954534
3.4011974,3.6954534
3.3141861,3.6954534
3.9982007,3.6954534
4.0943446,3.6954534
4.0775375,3.6954534
4.2341065,3.6954534
3.3322046,3.6954534
3.4965076,3.6954534
3.4011974,3.6954534
4.0775375,3.6954534
3.0445225,3.6954534
3.7612002,3.7513666
3.8394523,3.7417042
3.7727609,3.7513666
3.4965076,3.7513666
3.583519,3.7513666
4.1026435,3.7513666
4.5643482,3.7513666
3.4339871,3.7513666
3.9512436,3.7513666
4.0253515,3.7513666
3.8177123,3.7513666
3.871201,3.7513666
3.7013021,3.7513666
4.3820267,3.7513666
4.5379615,3.7608955
3.8066626,3.7608955
4.2556129,3.7608955
3.8501475,3.7608955
3.4657359,3.7608955
4.0073333,3.7608955
3.9415817,3.7608955
4.1896548,3.7608955
4.0073333,3.7608955
3.2188759,3.7608955
4.1108737,3.7608955
3.9120231,3.7608955
3.7954891,3.7608955
4.2556129,3.7608955
3.9019728,3.7608955
3.8066626,3.7608955
3.8286414,3.7608955
3.8815639,3.7608955
3.8066626,3.7210922
3.9120231,3.7210922
3.6109178,3.7210922
3.5695326,3.7210922
3.6635616,3.7210922
4.3944492,3.7210922
3.9120231,3.7210922
3.871201,3.7210922
4.1431346,3.7210922
3.4011974,3.7210922
3.9318256,3.7210922
3.9318256,3.7210922
3.9120231,3.7210922
3.6888795,3.7210922
3.7727609,3.7210922
3.4011974,3.7210922
4.2341065,3.7210922
3.6109178,3.7210922
3.583519,3.7210922
3.8501475,3.841542
3.8177123,3.841542
4.1271343,3.841542
3.8066626,3.8318796
3.7727609,3.841542
4.3820267,3.841542
3.8066626,3.841542
4.0604429,3.841542
3.9702919,3.841542
4.051785,3.841542
4.1820502,3.841542
3.9019728,3.841542
4.3307333,3.841542
3.5263605,3.7694116
4.4773369,3.7694116
3.3672957,3.7694116
3.9702919,3.7694116
3.8607297,3.7694116
4.2696977,3.7694116
3.871201,3.7790737
4.1431346,3.7694116
3.5553482,3.7694116
3.6375861,3.7694116
4.1510401,3.6677957
3.8066626,3.6677957
3.6506581,3.6677957
3.4965076,3.6677957
3.9019728,3.6677957
3.2188759,3.6677957
3.624341,3.6677957
3.9982007,3.6677957
3.5115454,3.6677957
3.4965076,3.6677957
3.3499041,3.6677957
3.871201,3.6677957
4.1588831,3.6677957
3.8918202,3.6677957
4.4308167,3.6677957
3.6109178,3.965508
3.7612002,3.965508
3.583519,3.965508
3.7841897,3.965508
3.6888795,3.965508
3.48124,3.965508
3.6635616,3.965508
3.7013021,3.965508
4.3438053,3.9558456
3.2580965,3.965508
3.8286414,3.965508
3.7495041,3.8829217
3.3141861,3.8829217
3.5409594,3.8829217
3.583519,3.8829217
3.7495041,3.8829217
4.2626801,3.8829217
3.624341,3.8829217
4.2835865,3.8829217
4.0775375,3.8829217
3.3141861,3.8829217
3.6109178,3.8829217
3.4499876,3.8829217
3.4657359,3.8829217
4.5747108,4.1392913
4.0430512,4.1392913
4.2904596,4.1392913
3.4657359,4.1996908
4.1190372,4.1392913
4.2766662,4.1392913
4.0604429,4.1392913
4.3438053,4.1392913
4.4426513,4.1392913
4.5217886,4.209353
3.871201,4.0449843
4.4886365,4.0353222
3.871201,3.9749224
4.0604429,3.9166791
4.0253515,3.9166791
3.8286414,3.9166791
3.4965076,3.9166791
3.3672957,3.9166791
3.7841897,3.9166791
3.6109178,3.9166791
4.5325994,3.8466172
3.6375861,3.9166791
3.871201,3.9166791
4.0253515,3.9166791
