"case_id","LAT_DD_MOD","LON_DD_MOD","rcsi","logfcs","hdds"
"0364-003",-10.9995,33.7092,2.39292025571139,3.94321554975884,5.65063830058527
"0381-001",-10.9368,33.9124,4.36323982852686,3.66911365109178,4.65946940988686
"0424-001",-12.2112,33.3271,3.5321583660834,3.66950375548696,4.53667853817695
"0441-001",-11.9792,33.4992,3.62824862462223,3.64691369281567,4.44560210065718
"0506-001",-11.3125,33.4799,4.50498141356495,3.64794385751481,4.52778275050372
"0596-001",-12.2419,33.4716,3.25747165755845,3.64474689997377,4.49570867931845
"0619-001",-11.4076,33.9949,1.94662852661349,4.02417910396319,5.63018385058548
"0679-008",-11.229635,33.857466,1.96777636871671,4.11156089721556,5.94983323213862
"0698-001",-11.4556,33.9885,2.21628255282712,3.98968861538426,5.53212617090769
"0740-001",-11.4697,33.9869,2.92626209701379,3.81881135606133,5.00054550713713
"0836-001",-13.0561,33.3941,3.57151193400308,3.65892433958683,4.60435121935493
"0907-001",-13.406,33.9457,3.10084372169004,3.66688204546269,4.656492531474
"0918-001",-13.1174,33.7854,3.67081678088935,3.71729157416201,4.69327642793819
"0940-004",-13.3314,33.8581,3.51756590246484,3.62798817574178,4.55956966359724
"0985-001",-13.7469,34.1632,3.51080045990666,3.68223265273485,4.59045202803363
"1033-001",-13.5077,33.7376,2.63065837103937,3.77849491675706,4.98397396960336
"1123-001",-14.2996,33.9032,4.2433229965304,3.55163033417868,4.24022687035577
"1170-001",-14.26,33.7983,3.75472739221472,3.59032992279271,4.45568796746102
"1224-003",-13.8674,33.8281,2.46287005735011,3.89161824235651,5.39555369991793
"1336-001",-13.9347,33.494,3.71218549416058,3.64141380564909,4.6247333680914
"1409-001",-13.5486,33.1745,3.95705304947933,3.70610635595369,4.674108660076
"1462-001",-14.2992,34.1126,4.00151301265732,3.55833804509746,4.35103529679487
"1457-001",-14.0261,34.26,3.06636138462203,3.65767841561174,4.61383216311337
"1468-001",-14.1078,34.2701,3.86505789832344,3.52795866236274,4.27967790134648
"1559-001",-14.7689,34.6461,4.06840516329585,3.64715801364142,4.58788895152363
"1654-001",-13.9896,33.7772,1.53550247593779,4.07916911804181,5.92621530820467
"1637-001",-13.9917,33.7789,1.95340430413508,4.00340414186783,5.74307391606101
"1712-001",-14.0073,33.8244,1.1321597579202,4.24209395087861,6.57720198299877
"1738-001",-13.8758,33.7599,1.22419100661648,4.18905246749516,6.33517540549451
"1755-001",-13.8696,33.7771,1.16296372310494,4.15400080408126,6.28070795994419
"1795-001",-13.9491,33.8099,2.63280311899545,3.82961817309625,5.1482759269213
"1784-001",-13.947822,33.817193,-0.715310148611449,4.66068098230327,7.77790926650174
"1835-001",-13.9323,33.7589,2.49847114809135,3.85111702031519,5.24694018975704
"1828-001",-13.8939,33.7871,2.74301895544404,3.85690231720854,5.24591715103249
